A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),ph,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
1534.43,645.67,1676.93,414.87,677.27,967.29,287.54,296.77,926.03,160.58,255.59,49.98,69.68,55.61,164.46,241.03,83.35,37.43,5.1,0.06,0.48,75.65,152.4,4,3,21.3,45.51,16.92,1.23,0.55,0.6
831.83,412.5,1409.22,318.77,653.59,997.99,330.54,339.45,917.83,169.95,267.91,53.79,73.47,59.63,172.21,245.54,85.62,36.62,7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
1834.54,582.89,1936.68,435.19,637.8,1115.53,336.45,349,865.15,180.21,229.93,50.83,65.14,52.38,162.74,215.13,88.45,36.52,6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
2793.89,870.85,2504.94,694.83,837.51,1589.45,397.18,392.68,1454.01,202.51,351.06,69.04,86.35,74.95,257.46,336.77,116.8,51.13,8.6,0.13,0.57,13.14,308,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
2698.47,812.07,2446.22,643.09,828.83,1677.04,424.06,440.89,1171.87,229.72,318.21,66.08,84.07,70.92,239.38,333.39,112.27,51.13,8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
2220.54,705.45,2452.19,661.57,948.81,1684.53,440.18,454.95,1425.92,234.18,355.16,69.04,86.35,72.53,241.96,314.24,114.53,50.21,8.02,2.23,0.24,45.37,279.91,14.5,5,26.49,27.39,4.18,0.67,1.91,0.81
2220.54,705.45,2452.19,661.57,948.81,1684.53,440.18,454.95,1425.92,234.18,355.16,69.04,86.35,72.53,241.96,314.24,114.53,50.21,8.72,0.15,0.6,14.19,231.23,8.7,3.5,19.04,2.92,4.65,0.47,0.85,0.49
2572.7,770.22,2407.4,626.46,835.14,1644.1,410.62,432.35,1358.01,229.72,340.79,67.77,83.32,70.92,241.96,301.85,110.57,49.3,8.78,0.23,0.57,57.46,438.12,30.7,3,24.83,4.23,12.64,0.65,0.44,0.24
2380.14,725.38,2426.32,587.65,780.65,1497.36,433.73,446.91,1339.28,231.06,340.79,69.46,84.07,70.92,240.24,319.87,117.37,51.13,7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
1760.82,880.82,1955.58,540.53,786.99,1021.2,388.58,388.16,878.03,196.71,208.38,58.03,70.44,55.61,153.27,236.53,82.22,42.91,8.18,0.14,0.27,7.53,209.44,10.4,4,42.68,1.95,0.72,1.05,0.29,0.69
1574.33,733.35,1857.06,485.09,790.94,1098.31,353.11,366.57,978.71,192.7,272.02,58.88,78.01,63.66,168.77,245.54,84.48,40.17,7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
1988.07,931.63,2242.21,598.74,885.66,1166.44,385.9,392.68,1005.63,201.62,254.57,58.45,71.95,58.02,165.32,234.27,83.92,41.08,4.9,0.06,0.47,10.34,73.02,1.7,1.3,2.48,26.31,16.94,1.42,0.7,0.81
1980.99,931.63,2242.21,598.74,885.66,1166.44,385.9,392.68,1005.63,201.62,254.57,58.45,71.95,58.02,165.32,234.27,83.92,41.08,7.68,0.32,0.6,31.71,582,,15,8.6,6.27,5.39,1.27,0.73,0.26
